City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Ixtapa,MX,75.22,overcast clouds,20.7,-105.2,hotel la terminal
24,Portland,US,89.55,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
28,Atuona,PF,77.56,few clouds,-9.8,-139.0333,Villa Enata
35,Hithadhoo,MV,76.77,moderate rain,-0.6,73.0833,Scoop Guest House
38,Dingle,PH,87.08,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
47,Lamesa,US,86.52,few clouds,32.7376,-101.951,Shiloh Inn Lamesa
50,Faanui,PF,78.58,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
53,Ternate,ID,81.5,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
58,Kailaras,IN,88.59,overcast clouds,26.3167,77.6167,बिश्राम घाट कैलारस
59,Katsuura,JP,83.23,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
71,Dongsheng,CN,79.47,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
73,Isangel,VU,76.64,broken clouds,-19.55,169.2667,Tanna Lodge
76,Sakakah,SA,85.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
77,Lorengau,PG,85.28,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
80,Lexington,US,75.2,scattered clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
82,Saint George,US,75.79,light rain,37.1041,-113.5841,Best Western Plus Abbey Inn
90,Hobyo,SO,78.67,broken clouds,5.3505,48.5268,Iftin hotel hobyo
92,Kapaa,US,84.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
93,Butaritari,KI,82.11,clear sky,3.0707,172.7902,Isles Sunset Lodge
95,Sanmenxia,CN,80.08,overcast clouds,34.7747,111.1814,Pengzhou Hotel
96,Tezu,IN,82.58,broken clouds,27.9167,96.1667,Circuit House
99,Saucillo,MX,78.31,overcast clouds,28.0167,-105.2833,Hotel La Posada de San Judas Tadeo
100,Bulolo,PG,83.88,overcast clouds,-7.2,146.65,Pine Lodge Bulolo
101,Lingao,CN,88.84,clear sky,19.9103,109.6859,Lingao Ditai Inn
102,Nalut,LY,76.37,clear sky,30.3333,10.85,
106,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
110,Nador,MA,86.25,clear sky,35.174,-2.9287,Hôtel La Giralda
111,Yangliuqing,CN,85.95,broken clouds,39.1375,116.9997,如庭快捷酒店
115,Nauchnyy Gorodok,RU,77.86,clear sky,53.4203,83.521,"""Usad'ba Na Lyapikhe"""
117,Cayenne,GF,76.08,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
118,Saskylakh,RU,82.8,scattered clouds,71.9167,114.0833,
119,Zunyi,CN,83.84,overcast clouds,27.6867,106.9072,Bishiluo Hostel
121,Sorong,ID,84.33,broken clouds,-0.8833,131.25,Waigo Splash Hotel
122,Aguilas,ES,77.41,clear sky,37.4063,-1.5829,Hotel Carlos III
128,Savannah Bight,HN,82.69,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
129,Pipri,IN,77.58,haze,19.8,75.5333,Sukhana River nilu and rushi home
130,Wildwood,US,76.3,overcast clouds,38.5828,-90.6629,The Wildwood Hotel
131,Buala,SB,84.76,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
139,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
142,Florence,IT,75.24,clear sky,43.7667,11.25,Hotel Nuova Italia
144,Georgetown,MY,87.75,scattered clouds,5.4112,100.3354,Cititel Penang
145,Manokwari,ID,84.16,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
154,Puerto Escondido,MX,77.34,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
157,Aswan,EG,83.5,clear sky,24.0934,32.907,Nuba Nile
160,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
162,Tiznit,MA,80.11,clear sky,29.5833,-9.5,
165,Tautira,PF,76.01,moderate rain,-17.7333,-149.15,Pension Oaoa
166,Magadan,RU,78.53,broken clouds,59.5667,150.8,Magadan hotel
170,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
176,Banda Aceh,ID,85.3,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
177,Trinidad,BO,77.0,broken clouds,-14.8333,-64.9,Hotel Piesta
178,Batticaloa,LK,84.42,moderate rain,7.7102,81.6924,Grand Star Guest House
189,Kavieng,PG,84.99,broken clouds,-2.5744,150.7967,Nusa Island Retreat
191,Marawi,PH,80.11,scattered clouds,7.9986,124.2928,Derogongan Residence
192,Zhigansk,RU,77.97,few clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
193,Tommot,RU,85.17,few clouds,58.9564,126.2925,Gostinitsa Tommot
197,Kaspiysk,RU,78.98,few clouds,42.8816,47.6392,Alima Hostel
203,Mogadishu,SO,75.07,broken clouds,2.0371,45.3438,Hotel Juba
206,Harsud,IN,82.71,overcast clouds,22.1,76.7333,Tortoise Tapu (Anay)
207,Kilindoni,TZ,75.38,light rain,-7.9139,39.6668,Bustani B&B
210,Chara,RU,81.14,overcast clouds,56.9064,118.2631,
213,Erzin,TR,81.45,clear sky,36.9559,36.2,Artemis Otel
214,Bubaque,GW,79.39,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
219,Sao Filipe,CV,77.04,broken clouds,14.8961,-24.4956,Hotel Xaguate
221,Male,MV,85.95,broken clouds,4.1748,73.5089,Hotel Octave Maldives
223,Agadez,NE,80.92,scattered clouds,19.75,10.25,
226,Malur,IN,78.58,few clouds,13.0075,77.9378,RG Hotels and Resort
229,Mamallapuram,IN,89.06,few clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
230,Labuan,MY,84.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
235,Tual,ID,79.68,broken clouds,-5.6667,132.75,Grand Vilia Hotel
242,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
244,Houston,US,86.29,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
247,Derzhavinsk,KZ,78.03,scattered clouds,51.1,66.3167,Ooo.khim Baza
249,Bilma,NE,85.57,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
253,Noumea,NC,78.78,clear sky,-22.2763,166.4572,Hôtel Le Lagon
256,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
257,Bonthe,SL,75.83,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
258,Selma,US,89.38,clear sky,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
259,Magadi,IN,78.96,scattered clouds,12.9667,77.2333,Gobi centre
269,Ishinomaki,JP,80.6,broken clouds,38.4167,141.3,Ishinomaki Grand Hotel
273,Puri,IN,86.52,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
274,Samarai,PG,80.22,broken clouds,-10.6167,150.6667,Nuli Sapi
278,Karratha,AU,82.53,clear sky,-20.7377,116.8463,ibis Styles Karratha
282,Domoni,KM,75.74,few clouds,-12.2569,44.5319,Al Djadid
287,Guanica,PR,81.05,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
289,Berdigestyakh,RU,83.62,clear sky,62.0989,126.6992,
290,Sinnamary,GF,77.77,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
291,Meulaboh,ID,83.03,overcast clouds,4.1363,96.1285,Kost Pria
296,Bengkulu,ID,84.18,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
300,Kavaratti,IN,81.72,overcast clouds,10.5669,72.642,Green leaf
302,Ancona,IT,75.07,clear sky,43.55,13.1667,Casa Vandina - B&B
306,Tateyama,JP,82.22,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
307,Axim,GH,75.49,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
310,Khasan,RU,75.74,clear sky,42.4308,130.6434,Fangchuan Self-Driving Camp
313,Kijang,KR,85.73,scattered clouds,35.2442,129.2139,Samyang Beach Villa
314,Mazatenango,GT,75.83,overcast clouds,14.5333,-91.5,"Hotel y Restaurante ""COSTA VERDE"""
318,Coahuayana,MX,77.68,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
319,Kushmurun,KZ,77.52,broken clouds,52.4503,64.6311,Gostinitsa Pri Depo
320,Tokur,RU,77.92,scattered clouds,53.1333,132.9,
323,Wuwei,CN,86.81,clear sky,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
324,Krasnogorsk,RU,75.06,clear sky,55.8225,37.3181,"Hotel ""Academy"""
326,Wagar,SD,80.44,overcast clouds,16.1525,36.2032,
328,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
333,Auki,SB,84.87,broken clouds,-8.7676,160.7034,Auki Motel
335,Siocon,PH,86.68,broken clouds,7.7061,122.1353,ABS Hotel
339,Yinchuan,CN,87.94,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
347,Caucaia,BR,76.95,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
351,Gazojak,TM,89.58,scattered clouds,41.1875,61.4036,
352,Namatanai,PG,84.33,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
353,Pangkalanbuun,ID,82.47,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
354,Mansar,IN,80.33,light rain,21.4,79.25,OYO 69410 Sip & Bite Restaurant N Lodging
355,Luganville,VU,81.99,few clouds,-15.5333,167.1667,The Espiritu Hotel
357,Tarakan,ID,82.53,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
358,Libreville,GA,75.22,broken clouds,0.3925,9.4537,Le Méridien Re-Ndama
362,Seki,JP,86.92,moderate rain,34.85,136.4,Candeo Hotels Kameyama
365,Lamar,US,87.64,clear sky,33.6668,-95.5836,Kings Inn Paris TX
368,Riyadh,SA,87.94,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
371,Kirakira,SB,82.26,heavy intensity rain,-10.4544,161.9205,SanBiz Lodge
374,Charters Towers,AU,76.6,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
376,Makakilo City,US,79.12,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
377,Kloulklubed,PW,79.3,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
381,Jalu,LY,81.36,clear sky,29.0331,21.5482,صاحبة الفخامة
383,Port Blair,IN,87.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
385,Sarakhs,IR,89.74,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
387,Murgab,TM,85.87,clear sky,37.4966,61.9714,Wepa Nurlyýew
388,Laguna,US,80.4,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
390,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
391,Padang,ID,78.85,light rain,-0.9492,100.3543,Mercure Padang
392,Serik,TR,86.25,clear sky,36.9169,31.0989,Armas Belek - Ultra All Inclusive
394,Tomatlan,MX,76.89,overcast clouds,19.9333,-105.25,El Salvial
396,Muli,MV,82.22,broken clouds,2.9167,73.5667,Medhufushi Island Resort
397,Suba,PH,84.92,broken clouds,10.8438,121.0102,Jarnchi Pension House
399,Carutapera,BR,75.51,broken clouds,-1.195,-46.02,Lidera
400,Benicarlo,ES,75.56,few clouds,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
403,Juruti,BR,76.24,overcast clouds,-2.1522,-56.0922,Pousada Marupiara
405,Kahului,US,82.42,broken clouds,20.8947,-156.47,Maui Seaside Hotel
408,Ryotsu,JP,81.54,broken clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
409,Malindi,KE,75.36,broken clouds,-3.2175,40.1191,African House Resort
412,Herat,AF,88.5,clear sky,34.5,62.0,
416,Fare,PF,78.57,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
417,Gigmoto,PH,88.56,overcast clouds,13.7796,124.39,Cj's Travellers Inn
421,Manzanillo,CU,75.67,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
422,Vostok,RU,79.61,scattered clouds,46.4856,135.8833,
423,Cabo San Lucas,MX,87.1,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
424,Avera,US,80.11,overcast clouds,33.194,-82.5271,
425,Tahoua,NE,82.04,few clouds,14.8888,5.2692,Bungalows Guesthouse
428,Arkhara,RU,87.53,scattered clouds,49.4212,130.0842,"Gostinitsa ""Arkhara"""
431,Mingshui,CN,89.47,clear sky,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
433,Mahibadhoo,MV,81.81,broken clouds,3.7833,72.9667,Omadhoo Inn
436,Pedasi,PA,79.07,broken clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
437,Matara,LK,83.16,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
443,Dicabisagan,PH,86.63,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
447,Coron,PH,85.71,overcast clouds,11.9986,120.2043,Coron Westown Resort
448,Pombas,CV,76.78,scattered clouds,17.1503,-25.0201,Paul Paradis
449,Akyab,MM,86.27,few clouds,20.15,92.9,Hotel Memory
456,Tyrma,RU,84.85,few clouds,50.0833,132.1667,
463,Meadow Lake,US,78.28,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
464,Khartoum,SD,81.01,overcast clouds,15.5518,32.5324,Hotel China
466,Atambua,ID,82.33,broken clouds,-9.1061,124.8925,Kost Alfa Flat
470,Awbari,LY,76.37,clear sky,26.5921,12.7805,فندق أوباري
472,Esna,EG,80.62,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
481,Kokoda,PG,83.79,broken clouds,-8.8785,147.7407,Daito Guest House
487,Sabha,LY,76.96,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
488,Katherine,AU,86.32,few clouds,-14.4667,132.2667,Pine Tree Motel
489,Naze,JP,76.12,moderate rain,28.3667,129.4833,Shishime Hotel
492,Zhezkazgan,KZ,82.38,clear sky,47.8043,67.7144,Hotel Zumrat
493,Erenhot,CN,85.26,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
495,Susanville,US,82.24,clear sky,40.4163,-120.653,Comfort Inn & Suites
497,Vung Tau,VN,82.4,overcast clouds,10.346,107.0843,Seaside Resort
501,Zaysan,KZ,85.15,overcast clouds,47.4667,84.8667,Ерлан үй
504,Trairi,BR,76.55,overcast clouds,-3.2778,-39.2689,janelas do mar
506,Malanville,BJ,76.19,overcast clouds,11.8685,3.3899,Hotel Sejour du Sahel
510,Hayden,US,82.96,clear sky,47.766,-116.7866,Triple Play Resort Hotel & Suites
511,Sauteurs,GD,80.24,few clouds,12.2167,-61.6333,Barry's Country Retreat
513,Sokolo,ML,83.21,broken clouds,14.7328,-6.1219,
514,Awjilah,LY,80.73,clear sky,29.1081,21.2869,المنزل
516,Abu Dhabi,AE,87.96,clear sky,24.4667,54.3667,Beach Rotana
518,Tura,IN,81.91,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
520,Elat,IL,86.47,clear sky,29.5581,34.9482,Club Hotel Eilat
521,Batagay-Alyta,RU,79.03,overcast clouds,67.8006,130.4114,
525,Kankon,IN,81.91,overcast clouds,15.0167,74.0167,Palolem Beach Resort
526,Birjand,IR,88.27,haze,32.8663,59.2211,Birjand Tourist Hotel
529,Ahuimanu,US,80.31,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
530,Caorle,IT,75.72,light rain,45.5966,12.8758,Maxim
532,Pemberton,CA,80.02,clear sky,50.3164,-122.8027,Pemberton Valley Lodge
533,Ukiah,US,80.49,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
534,Puerto Madero,MX,75.4,broken clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
538,Eydhafushi,MV,81.79,overcast clouds,5.1033,73.0708,Soneva Fushi
541,Nanakuli,US,80.55,overcast clouds,21.3906,-158.1547,Camp Pālehua
547,Port Said,EG,80.58,clear sky,31.2565,32.2841,Aracan Hotel
548,Fukue,JP,86.36,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
550,Linxia,CN,76.01,scattered clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
556,Iranshahr,IR,86.34,scattered clouds,27.2025,60.6848,نیک سرشت
561,Annau,TM,87.3,scattered clouds,37.8876,58.516,"Гостиница ""Уссат инженер"""
564,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
567,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
571,Kumluca,TR,89.65,clear sky,36.3703,30.2869,Akkol Apart
579,Aleksandrov Gay,RU,78.64,broken clouds,50.147,48.5704,Gostinitsa
583,Itoman,JP,89.98,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
588,Russell,US,80.2,broken clouds,32.3502,-85.1999,Macs
589,Manado,ID,86.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
593,Papara,BR,75.6,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
596,Nishihara,JP,89.26,scattered clouds,26.1842,127.7558,Minshuku Agaihama
610,Itarema,BR,76.53,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
612,Pointe Michel,DM,79.75,clear sky,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
614,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
619,Enumclaw,US,81.59,clear sky,47.2043,-121.9915,Cedars Inn
621,Metro,ID,85.64,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
622,San Policarpo,PH,84.56,overcast clouds,12.1791,125.5072,Agapita M. Nicart
624,Trincomalee,LK,83.25,light rain,8.5711,81.2335,Welcombe Hotel
626,Akhtubinsk,RU,79.86,clear sky,48.2795,46.1722,Vzlet
628,Manzhouli,CN,78.51,clear sky,49.6,117.4333,Angala International Youth Hostel
633,Kununurra,AU,84.18,clear sky,-15.7667,128.7333,Hotel Kununurra
636,Safaga,EG,86.41,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
637,Miri,MY,80.74,light rain,4.4148,114.0089,"Mega Hotel, Miri"
643,Preobrazheniye,RU,76.41,scattered clouds,42.9019,133.9064,Campsite Orlan
644,Mujiayingzi,CN,83.46,overcast clouds,42.1167,118.7833,Jinjiang Hotel
647,Nabire,ID,84.96,light rain,-3.3667,135.4833,Hotel Nusantara I
650,Guarare,PA,79.2,broken clouds,7.8167,-80.2833,RESIDENCIAL VILLA VALENTINA
654,Dubai,AE,88.09,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
655,Weligama,LK,82.78,overcast clouds,5.9667,80.4167,Weligama Bay Resort
659,Arman,RU,79.02,broken clouds,59.7,150.1667,
660,Merauke,ID,81.12,broken clouds,-8.4667,140.3333,
661,Kassala,SD,76.89,overcast clouds,15.451,36.4,Amassi Hotel Gash
664,Novo Aripuana,BR,77.81,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
667,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
668,Price,US,79.86,broken clouds,39.5994,-110.8107,National 9 - Price River Inn
669,Rincon,US,82.85,clear sky,32.296,-81.2354,Days Inn Rincon
671,Todos Santos,MX,78.04,scattered clouds,23.45,-110.2167,Hotel California Todos Santos
673,Kencong,ID,83.1,few clouds,-8.2833,113.3667,GUBUK SUGIANTO
675,Lazaro Cardenas,MX,79.14,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
